"","easting","northing","plot_area","metric","value"
"1",403499.9995,3284499.9995,"100 m","mean.max.canopy.ht.aop",10.7714281096546
"2",403599.9995,3284499.9995,"100 m","mean.max.canopy.ht.aop",10.1926984504735
"3",403699.9995,3284499.9995,"100 m","mean.max.canopy.ht.aop",10.3246033091532
"4",403799.9995,3284499.9995,"100 m","mean.max.canopy.ht.aop",10.3082421043785
"5",403899.9995,3284499.9995,"100 m","mean.max.canopy.ht.aop",10.8393732455559
"6",403999.9995,3284499.9995,"100 m","mean.max.canopy.ht.aop",11.9124573787346
"7",404099.9995,3284499.9995,"100 m","mean.max.canopy.ht.aop",10.986117600376
"8",404199.9995,3284499.9995,"100 m","mean.max.canopy.ht.aop",14.7461069857243
"9",404299.9995,3284499.9995,"100 m","mean.max.canopy.ht.aop",12.0298684678211
"10",404399.9995,3284499.9995,"100 m","mean.max.canopy.ht.aop",14.5651611306147
"11",404499.9995,3284499.9995,"100 m","mean.max.canopy.ht.aop",14.7915529166703
"12",403499.9995,3284599.9995,"100 m","mean.max.canopy.ht.aop",12.2392444819989
"13",403599.9995,3284599.9995,"100 m","mean.max.canopy.ht.aop",10.6280808824874
"14",403699.9995,3284599.9995,"100 m","mean.max.canopy.ht.aop",9.40551389622297
"15",403799.9995,3284599.9995,"100 m","mean.max.canopy.ht.aop",10.0015720241357
"16",403899.9995,3284599.9995,"100 m","mean.max.canopy.ht.aop",10.3886797105895
"17",403999.9995,3284599.9995,"100 m","mean.max.canopy.ht.aop",11.3570494617153
"18",404099.9995,3284599.9995,"100 m","mean.max.canopy.ht.aop",12.23426791432
"19",404199.9995,3284599.9995,"100 m","mean.max.canopy.ht.aop",12.3534458945429
"20",404299.9995,3284599.9995,"100 m","mean.max.canopy.ht.aop",13.5963245253147
"21",404399.9995,3284599.9995,"100 m","mean.max.canopy.ht.aop",12.6916820595541
"22",404499.9995,3284599.9995,"100 m","mean.max.canopy.ht.aop",13.5380162466493
"23",403499.9995,3284699.9995,"100 m","mean.max.canopy.ht.aop",13.1544935374606
"24",403599.9995,3284699.9995,"100 m","mean.max.canopy.ht.aop",10.0007093466011
"25",403699.9995,3284699.9995,"100 m","mean.max.canopy.ht.aop",9.03088425949165
"26",403799.9995,3284699.9995,"100 m","mean.max.canopy.ht.aop",11.1928689013297
"27",403899.9995,3284699.9995,"100 m","mean.max.canopy.ht.aop",11.6426034907092
