"","easting","northing","plot_area","metric","value"
"1",403549.9995,3284549.9995,"250 m","mean.max.canopy.ht.aop",11.0084376721543
"2",404257.106281187,3284549.9995,"250 m","mean.max.canopy.ht.aop",13.1701012664308
"3",403549.9995,3285257.10628119,"250 m","mean.max.canopy.ht.aop",5.88398989801188
"4",404257.106281187,3285257.10628119,"250 m","mean.max.canopy.ht.aop",10.8974166653313
"5",403549.9995,3284549.9995,"250 m","max.canopy.ht.aop",24.04
"6",404257.106281187,3284549.9995,"250 m","max.canopy.ht.aop",25.95
"7",403549.9995,3285257.10628119,"250 m","max.canopy.ht.aop",22.986
"8",404257.106281187,3285257.10628119,"250 m","max.canopy.ht.aop",23.141
"9",403549.9995,3284549.9995,"250 m","rumple.aop",1.85203214621991
"10",404257.106281187,3284549.9995,"250 m","rumple.aop",1.63561626901466
"11",403549.9995,3285257.10628119,"250 m","rumple.aop",1.50597290191722
"12",404257.106281187,3285257.10628119,"250 m","rumple.aop",1.81719340032272
"13",403549.9995,3284549.9995,"250 m","deepgaps.aop",56
"14",404257.106281187,3284549.9995,"250 m","deepgaps.aop",291
"15",403549.9995,3285257.10628119,"250 m","deepgaps.aop",782
"16",404257.106281187,3285257.10628119,"250 m","deepgaps.aop",596
"17",403549.9995,3284549.9995,"250 m","deepgap.fraction.aop",0.000896
"18",404257.106281187,3284549.9995,"250 m","deepgap.fraction.aop",0.00463745019920319
"19",403549.9995,3285257.10628119,"250 m","deepgap.fraction.aop",0.0124621513944223
"20",404257.106281187,3285257.10628119,"250 m","deepgap.fraction.aop",0.00946016729893176
"21",403549.9995,3284549.9995,"250 m","cover.fraction.aop",0.999104
"22",404257.106281187,3284549.9995,"250 m","cover.fraction.aop",0.995362549800797
"23",403549.9995,3285257.10628119,"250 m","cover.fraction.aop",0.987537848605578
"24",404257.106281187,3285257.10628119,"250 m","cover.fraction.aop",0.990539832701068
"25",403549.9995,3284549.9995,"250 m","top.rugosity.aop",3.71262295439309
"26",404257.106281187,3284549.9995,"250 m","top.rugosity.aop",3.26481900170229
"27",403549.9995,3285257.10628119,"250 m","top.rugosity.aop",5.58473480991868
"28",404257.106281187,3285257.10628119,"250 m","top.rugosity.aop",3.25629213109733
"29",403549.9995,3284549.9995,"250 m","vert.sd.aop",4.10353127986059
"30",404257.106281187,3284549.9995,"250 m","vert.sd.aop",3.90085531265239
"31",403549.9995,3285257.10628119,"250 m","vert.sd.aop",3.80536264897199
"32",404257.106281187,3285257.10628119,"250 m","vert.sd.aop",3.89660173319033
"33",403549.9995,3284549.9995,"250 m","sd.sd.aop",1.64003526320094
"34",404257.106281187,3284549.9995,"250 m","sd.sd.aop",0.422243544553984
"35",403549.9995,3285257.10628119,"250 m","sd.sd.aop",1.72776672657469
"36",404257.106281187,3285257.10628119,"250 m","sd.sd.aop",NA
"37",403549.9995,3284549.9995,"250 m","entropy.aop",0.870665212436535
"38",404257.106281187,3284549.9995,"250 m","entropy.aop",0.808014563689974
"39",403549.9995,3285257.10628119,"250 m","entropy.aop",0.855987051532559
"40",404257.106281187,3285257.10628119,"250 m","entropy.aop",0.869452784131948
"41",403549.9995,3284549.9995,"250 m","GFP.AOP.aop",0.836414837351451
"42",404257.106281187,3284549.9995,"250 m","GFP.AOP.aop",0.857234938407904
"43",403549.9995,3285257.10628119,"250 m","GFP.AOP.aop",0.849319971213583
"44",404257.106281187,3285257.10628119,"250 m","GFP.AOP.aop",0.829783296485112
"45",403549.9995,3284549.9995,"250 m","VAI.AOP.aop",8.57155476092339
"46",404257.106281187,3284549.9995,"250 m","VAI.AOP.aop",7.78607348923069
"47",403549.9995,3285257.10628119,"250 m","VAI.AOP.aop",7.42259740870751
"48",404257.106281187,3285257.10628119,"250 m","VAI.AOP.aop",8.57627795678958
"49",403549.9995,3284549.9995,"250 m","VCI.AOP.aop",0.608568867311985
"50",404257.106281187,3284549.9995,"250 m","VCI.AOP.aop",0.578281383689281
"51",403549.9995,3285257.10628119,"250 m","VCI.AOP.aop",0.590721475642405
"52",404257.106281187,3285257.10628119,"250 m","VCI.AOP.aop",0.600014253398185
