"","easting","northing","plot_area","metric","value"
"1",403499.9995,3284499.9995,"250 m","mean.max.canopy.ht.aop",10.9099861777377
"2",403749.9995,3284499.9995,"250 m","mean.max.canopy.ht.aop",10.2063807784055
"3",403999.9995,3284499.9995,"250 m","mean.max.canopy.ht.aop",11.9346505769092
"4",404249.9995,3284499.9995,"250 m","mean.max.canopy.ht.aop",12.8994464420013
"5",404499.9995,3284499.9995,"250 m","mean.max.canopy.ht.aop",14.1723410712775
"6",403499.9995,3284749.9995,"250 m","mean.max.canopy.ht.aop",11.3884024057434
"7",403749.9995,3284749.9995,"250 m","mean.max.canopy.ht.aop",11.3946848269208
"8",403999.9995,3284749.9995,"250 m","mean.max.canopy.ht.aop",10.6230526298678
"9",404249.9995,3284749.9995,"250 m","mean.max.canopy.ht.aop",12.5112467162051
"10",404499.9995,3284749.9995,"250 m","mean.max.canopy.ht.aop",12.0254630509787
"11",403499.9995,3284999.9995,"250 m","mean.max.canopy.ht.aop",10.1133299333286
"12",403749.9995,3284999.9995,"250 m","mean.max.canopy.ht.aop",11.5007798264394
"13",403999.9995,3284999.9995,"250 m","mean.max.canopy.ht.aop",10.7830019484891
"14",404249.9995,3284999.9995,"250 m","mean.max.canopy.ht.aop",9.95732892614908
"15",404499.9995,3284999.9995,"250 m","mean.max.canopy.ht.aop",10.5991010348961
"16",403499.9995,3285249.9995,"250 m","mean.max.canopy.ht.aop",7.38356570577718
"17",403749.9995,3285249.9995,"250 m","mean.max.canopy.ht.aop",9.4690171848812
"18",403999.9995,3285249.9995,"250 m","mean.max.canopy.ht.aop",10.8103141521234
"19",404249.9995,3285249.9995,"250 m","mean.max.canopy.ht.aop",10.68620112446
"20",404499.9995,3285249.9995,"250 m","mean.max.canopy.ht.aop",10.6690228757139
"21",403499.9995,3285499.9995,"250 m","mean.max.canopy.ht.aop",7.19005766327982
"22",403749.9995,3285499.9995,"250 m","mean.max.canopy.ht.aop",7.93772213199038
"23",403999.9995,3285499.9995,"250 m","mean.max.canopy.ht.aop",9.39868940761878
"24",404249.9995,3285499.9995,"250 m","mean.max.canopy.ht.aop",11.9230392429803
"25",404499.9995,3285499.9995,"250 m","mean.max.canopy.ht.aop",12.1038609169936
"26",403499.9995,3284499.9995,"250 m","max.canopy.ht.aop",24.7741298342599
"27",403749.9995,3284499.9995,"250 m","max.canopy.ht.aop",22.1172061981092
"28",403999.9995,3284499.9995,"250 m","max.canopy.ht.aop",24.3360747081466
"29",404249.9995,3284499.9995,"250 m","max.canopy.ht.aop",25.9500829598395
"30",404499.9995,3284499.9995,"250 m","max.canopy.ht.aop",24.4274736733788
"31",403499.9995,3284749.9995,"250 m","max.canopy.ht.aop",24.270769339324
"32",403749.9995,3284749.9995,"250 m","max.canopy.ht.aop",26.0395103764568
"33",403999.9995,3284749.9995,"250 m","max.canopy.ht.aop",35.9677566900349
"34",404249.9995,3284749.9995,"250 m","max.canopy.ht.aop",24.0277487680974
"35",404499.9995,3284749.9995,"250 m","max.canopy.ht.aop",23.4669202143768
"36",403499.9995,3284999.9995,"250 m","max.canopy.ht.aop",21.6028278111599
"37",403749.9995,3284999.9995,"250 m","max.canopy.ht.aop",21.9665220526851
"38",403999.9995,3284999.9995,"250 m","max.canopy.ht.aop",24.3430112939282
"39",404249.9995,3284999.9995,"250 m","max.canopy.ht.aop",23.5138366097666
"40",404499.9995,3284999.9995,"250 m","max.canopy.ht.aop",21.2349756793799
"41",403499.9995,3285249.9995,"250 m","max.canopy.ht.aop",22.9855882335107
"42",403749.9995,3285249.9995,"250 m","max.canopy.ht.aop",22.0823385337904
"43",403999.9995,3285249.9995,"250 m","max.canopy.ht.aop",23.3700047613681
"44",404249.9995,3285249.9995,"250 m","max.canopy.ht.aop",22.3941149934304
"45",404499.9995,3285249.9995,"250 m","max.canopy.ht.aop",23.1878619298524
"46",403499.9995,3285499.9995,"250 m","max.canopy.ht.aop",23.9622949376304
"47",403749.9995,3285499.9995,"250 m","max.canopy.ht.aop",20.1827856476453
