,easting,northing,plot_area,metric,value
1,403499.9995,3284500,40 m,mean.max.canopy.ht.aop,11.24335369
2,403539.9995,3284500,40 m,mean.max.canopy.ht.aop,10.60956684
3,403579.9995,3284500,40 m,mean.max.canopy.ht.aop,9.180649388
4,403619.9995,3284500,40 m,mean.max.canopy.ht.aop,11.39913129
5,403659.9995,3284500,40 m,mean.max.canopy.ht.aop,9.354893337
6,403699.9995,3284500,40 m,mean.max.canopy.ht.aop,11.05921587
7,403739.9995,3284500,40 m,mean.max.canopy.ht.aop,9.038202741
8,403779.9995,3284500,40 m,mean.max.canopy.ht.aop,8.86132674
9,403819.9995,3284500,40 m,mean.max.canopy.ht.aop,9.333775666
10,403859.9995,3284500,40 m,mean.max.canopy.ht.aop,8.581256512
11,403899.9995,3284500,40 m,mean.max.canopy.ht.aop,12.05074852
12,403939.9995,3284500,40 m,mean.max.canopy.ht.aop,14.2333426
13,403979.9995,3284500,40 m,mean.max.canopy.ht.aop,14.98115297
14,404019.9995,3284500,40 m,mean.max.canopy.ht.aop,12.08228241
15,404059.9995,3284500,40 m,mean.max.canopy.ht.aop,11.30958477
16,404099.9995,3284500,40 m,mean.max.canopy.ht.aop,11.9519372
17,404139.9995,3284500,40 m,mean.max.canopy.ht.aop,12.72612187
18,404179.9995,3284500,40 m,mean.max.canopy.ht.aop,12.66927304
19,404219.9995,3284500,40 m,mean.max.canopy.ht.aop,16.97338598
20,404259.9995,3284500,40 m,mean.max.canopy.ht.aop,12.93634202
21,404299.9995,3284500,40 m,mean.max.canopy.ht.aop,11.43269514
22,404339.9995,3284500,40 m,mean.max.canopy.ht.aop,12.09513913
23,404379.9995,3284500,40 m,mean.max.canopy.ht.aop,13.77404164
24,404419.9995,3284500,40 m,mean.max.canopy.ht.aop,15.06460059
25,404459.9995,3284500,40 m,mean.max.canopy.ht.aop,15.05539703
26,404499.9995,3284500,40 m,mean.max.canopy.ht.aop,13.87471845
27,403499.9995,3284540,40 m,mean.max.canopy.ht.aop,11.97501893
28,403539.9995,3284540,40 m,mean.max.canopy.ht.aop,11.39342511
29,403579.9995,3284540,40 m,mean.max.canopy.ht.aop,9.512985005
30,403619.9995,3284540,40 m,mean.max.canopy.ht.aop,9.966157398
31,403659.9995,3284540,40 m,mean.max.canopy.ht.aop,11.7226171
32,403699.9995,3284540,40 m,mean.max.canopy.ht.aop,10.16225059
33,403739.9995,3284540,40 m,mean.max.canopy.ht.aop,9.502459785
34,403779.9995,3284540,40 m,mean.max.canopy.ht.aop,8.863155861
35,403819.9995,3284540,40 m,mean.max.canopy.ht.aop,11.34695733
36,403859.9995,3284540,40 m,mean.max.canopy.ht.aop,9.555464164
37,403899.9995,3284540,40 m,mean.max.canopy.ht.aop,9.458620143
38,403939.9995,3284540,40 m,mean.max.canopy.ht.aop,10.62700761
39,403979.9995,3284540,40 m,mean.max.canopy.ht.aop,10.6013458
40,404019.9995,3284540,40 m,mean.max.canopy.ht.aop,9.42697084
41,404059.9995,3284540,40 m,mean.max.canopy.ht.aop,11.51275106
42,404099.9995,3284540,40 m,mean.max.canopy.ht.aop,10.69521883
43,404139.9995,3284540,40 m,mean.max.canopy.ht.aop,10.87232606
