,easting,northing,plot_area,metric,value
1,303539.9995,5122540,40 m,mean.max.canopy.ht.aop,175.1994017
2,303596.568,5122540,40 m,mean.max.canopy.ht.aop,176.7509326
3,303653.1366,5122540,40 m,mean.max.canopy.ht.aop,198.6316878
4,303709.7051,5122540,40 m,mean.max.canopy.ht.aop,234.4934908
5,303766.2737,5122540,40 m,mean.max.canopy.ht.aop,80.11716748
6,303822.8422,5122540,40 m,mean.max.canopy.ht.aop,38.20390971
7,303879.4108,5122540,40 m,mean.max.canopy.ht.aop,35.07947493
8,303935.9793,5122540,40 m,mean.max.canopy.ht.aop,42.39092517
9,303992.5478,5122540,40 m,mean.max.canopy.ht.aop,52.55367863
10,304049.1164,5122540,40 m,mean.max.canopy.ht.aop,52.86275819
11,304105.6849,5122540,40 m,mean.max.canopy.ht.aop,53.40143329
12,304162.2535,5122540,40 m,mean.max.canopy.ht.aop,49.24346093
13,304218.822,5122540,40 m,mean.max.canopy.ht.aop,38.24236488
14,304275.3906,5122540,40 m,mean.max.canopy.ht.aop,32.82947376
15,304331.9591,5122540,40 m,mean.max.canopy.ht.aop,53.99816196
16,304388.5276,5122540,40 m,mean.max.canopy.ht.aop,72.19149807
17,304445.0962,5122540,40 m,mean.max.canopy.ht.aop,76.36683657
18,303539.9995,5122596.568,40 m,mean.max.canopy.ht.aop,142.0132177
19,303596.568,5122596.568,40 m,mean.max.canopy.ht.aop,158.8652154
20,303653.1366,5122596.568,40 m,mean.max.canopy.ht.aop,172.8298023
21,303709.7051,5122596.568,40 m,mean.max.canopy.ht.aop,234.9996583
22,303766.2737,5122596.568,40 m,mean.max.canopy.ht.aop,134.5080563
23,303822.8422,5122596.568,40 m,mean.max.canopy.ht.aop,105.6821342
24,303879.4108,5122596.568,40 m,mean.max.canopy.ht.aop,68.23506108
25,303935.9793,5122596.568,40 m,mean.max.canopy.ht.aop,60.89220763
26,303992.5478,5122596.568,40 m,mean.max.canopy.ht.aop,67.53254474
27,304049.1164,5122596.568,40 m,mean.max.canopy.ht.aop,53.88091297
28,304105.6849,5122596.568,40 m,mean.max.canopy.ht.aop,45.87227661
29,304162.2535,5122596.568,40 m,mean.max.canopy.ht.aop,33.06755759
30,304218.822,5122596.568,40 m,mean.max.canopy.ht.aop,33.71571841
31,304275.3906,5122596.568,40 m,mean.max.canopy.ht.aop,35.15580853
32,304331.9591,5122596.568,40 m,mean.max.canopy.ht.aop,34.68106407
33,304388.5276,5122596.568,40 m,mean.max.canopy.ht.aop,58.98984838
34,304445.0962,5122596.568,40 m,mean.max.canopy.ht.aop,86.85224379
35,303539.9995,5122653.137,40 m,mean.max.canopy.ht.aop,56.69438545
36,303596.568,5122653.137,40 m,mean.max.canopy.ht.aop,113.2628579
37,303653.1366,5122653.137,40 m,mean.max.canopy.ht.aop,143.3676211
38,303709.7051,5122653.137,40 m,mean.max.canopy.ht.aop,73.4471569
39,303766.2737,5122653.137,40 m,mean.max.canopy.ht.aop,55.51745502
40,303822.8422,5122653.137,40 m,mean.max.canopy.ht.aop,44.26914394
41,303879.4108,5122653.137,40 m,mean.max.canopy.ht.aop,38.02188143
42,303935.9793,5122653.137,40 m,mean.max.canopy.ht.aop,67.46358522
43,303992.5478,5122653.137,40 m,mean.max.canopy.ht.aop,92.49381963
44,304049.1164,5122653.137,40 m,mean.max.canopy.ht.aop,60.69905715
45,304105.6849,5122653.137,40 m,mean.max.canopy.ht.aop,57.18475959
46,304162.2535,5122653.137,40 m,mean.max.canopy.ht.aop,55.20230144
47,304218.822,5122653.137,40 m,mean.max.canopy.ht.aop,55.56749647
48,304275.3906,5122653.137,40 m,mean.max.canopy.ht.aop,38.82749061
49,304331.9591,5122653.137,40 m,mean.max.canopy.ht.aop,37.7290737
50,304388.5276,5122653.137,40 m,mean.max.canopy.ht.aop,58.90230696
51,304445.0962,5122653.137,40 m,mean.max.canopy.ht.aop,77.33129815
52,303539.9995,5122709.705,40 m,mean.max.canopy.ht.aop,58.83427616
53,303596.568,5122709.705,40 m,mean.max.canopy.ht.aop,61.50911254
54,303653.1366,5122709.705,40 m,mean.max.canopy.ht.aop,67.50986911
55,303709.7051,5122709.705,40 m,mean.max.canopy.ht.aop,54.10782348
56,303766.2737,5122709.705,40 m,mean.max.canopy.ht.aop,49.85633322
57,303822.8422,5122709.705,40 m,mean.max.canopy.ht.aop,42.67133925
58,303879.4108,5122709.705,40 m,mean.max.canopy.ht.aop,53.21107153
59,303935.9793,5122709.705,40 m,mean.max.canopy.ht.aop,77.04454006
60,303992.5478,5122709.705,40 m,mean.max.canopy.ht.aop,94.61886343
61,304049.1164,5122709.705,40 m,mean.max.canopy.ht.aop,94.7342289
62,304105.6849,5122709.705,40 m,mean.max.canopy.ht.aop,55.49008698
63,304162.2535,5122709.705,40 m,mean.max.canopy.ht.aop,36.94977024
64,304218.822,5122709.705,40 m,mean.max.canopy.ht.aop,42.20797142
65,304275.3906,5122709.705,40 m,mean.max.canopy.ht.aop,34.57199359
66,304331.9591,5122709.705,40 m,mean.max.canopy.ht.aop,34.3573552
67,304388.5276,5122709.705,40 m,mean.max.canopy.ht.aop,54.35407056
68,304445.0962,5122709.705,40 m,mean.max.canopy.ht.aop,68.95355474
69,303539.9995,5122766.274,40 m,mean.max.canopy.ht.aop,37.71069221
70,303596.568,5122766.274,40 m,mean.max.canopy.ht.aop,49.22601046
71,303653.1366,5122766.274,40 m,mean.max.canopy.ht.aop,78.90215211
72,303709.7051,5122766.274,40 m,mean.max.canopy.ht.aop,33.27619062
73,303766.2737,5122766.274,40 m,mean.max.canopy.ht.aop,57.20299847
74,303822.8422,5122766.274,40 m,mean.max.canopy.ht.aop,36.30052435
75,303879.4108,5122766.274,40 m,mean.max.canopy.ht.aop,91.23203852
76,303935.9793,5122766.274,40 m,mean.max.canopy.ht.aop,59.56007791
77,303992.5478,5122766.274,40 m,mean.max.canopy.ht.aop,77.7873444
78,304049.1164,5122766.274,40 m,mean.max.canopy.ht.aop,82.1123765
79,304105.6849,5122766.274,40 m,mean.max.canopy.ht.aop,61.51745617
80,304162.2535,5122766.274,40 m,mean.max.canopy.ht.aop,36.38900541
81,304218.822,5122766.274,40 m,mean.max.canopy.ht.aop,32.5305351
82,304275.3906,5122766.274,40 m,mean.max.canopy.ht.aop,32.42512018
83,304331.9591,5122766.274,40 m,mean.max.canopy.ht.aop,36.28115072
84,304388.5276,5122766.274,40 m,mean.max.canopy.ht.aop,56.77354172
85,304445.0962,5122766.274,40 m,mean.max.canopy.ht.aop,77.93141573
86,303539.9995,5122822.842,40 m,mean.max.canopy.ht.aop,93.33538145
87,303596.568,5122822.842,40 m,mean.max.canopy.ht.aop,73.20669487
88,303653.1366,5122822.842,40 m,mean.max.canopy.ht.aop,77.21170552
89,303709.7051,5122822.842,40 m,mean.max.canopy.ht.aop,70.32949429
90,303766.2737,5122822.842,40 m,mean.max.canopy.ht.aop,38.03661759
91,303822.8422,5122822.842,40 m,mean.max.canopy.ht.aop,65.00833213
92,303879.4108,5122822.842,40 m,mean.max.canopy.ht.aop,69.18954061
93,303935.9793,5122822.842,40 m,mean.max.canopy.ht.aop,62.17396734
94,303992.5478,5122822.842,40 m,mean.max.canopy.ht.aop,86.46388136
95,304049.1164,5122822.842,40 m,mean.max.canopy.ht.aop,80.69460328
