"","easting","northing","plot_area","metric","value"
"1",304091.948993661,5123091.94899366,"500 m","mean.max.canopy.ht.aop",62.8816577259902
"2",304799.055774848,5123091.94899366,"500 m","mean.max.canopy.ht.aop",93.5526050565773
"3",304091.948993661,5123799.05577485,"500 m","mean.max.canopy.ht.aop",65.4711455505451
"4",304799.055774848,5123799.05577485,"500 m","mean.max.canopy.ht.aop",92.457259180448
"5",304091.948993661,5123091.94899366,"500 m","max.canopy.ht.aop",939.930448341408
"6",304799.055774848,5123091.94899366,"500 m","max.canopy.ht.aop",962.46498948777
"7",304091.948993661,5123799.05577485,"500 m","max.canopy.ht.aop",808.184771657035
"8",304799.055774848,5123799.05577485,"500 m","max.canopy.ht.aop",922.482822801144
"9",304091.948993661,5123091.94899366,"500 m","rumple.aop",65.9271984450016
"10",304799.055774848,5123091.94899366,"500 m","rumple.aop",99.795284273233
"11",304091.948993661,5123799.05577485,"500 m","rumple.aop",68.4657296823937
"12",304799.055774848,5123799.05577485,"500 m","rumple.aop",97.5600259773703
"13",304091.948993661,5123091.94899366,"500 m","deepgaps.aop",1003
"14",304799.055774848,5123091.94899366,"500 m","deepgaps.aop",457
"15",304091.948993661,5123799.05577485,"500 m","deepgaps.aop",453
"16",304799.055774848,5123799.05577485,"500 m","deepgaps.aop",5
"17",304091.948993661,5123091.94899366,"500 m","deepgap.fraction.aop",0.00399600001593619
"18",304799.055774848,5123091.94899366,"500 m","deepgap.fraction.aop",0.00202256241397471
"19",304091.948993661,5123799.05577485,"500 m","deepgap.fraction.aop",0.00200485946067953
"20",304799.055774848,5123799.05577485,"500 m","deepgap.fraction.aop",2.45819833727464e-05
"21",304091.948993661,5123091.94899366,"500 m","cover.fraction.aop",0.996003999984064
"22",304799.055774848,5123091.94899366,"500 m","cover.fraction.aop",0.997977437586025
"23",304091.948993661,5123799.05577485,"500 m","cover.fraction.aop",0.99799514053932
"24",304799.055774848,5123799.05577485,"500 m","cover.fraction.aop",0.999975418016627
"25",304091.948993661,5123091.94899366,"500 m","top.rugosity.aop",80.1527109558885
"26",304799.055774848,5123091.94899366,"500 m","top.rugosity.aop",104.775904745839
"27",304091.948993661,5123799.05577485,"500 m","top.rugosity.aop",67.9008620549245
"28",304799.055774848,5123799.05577485,"500 m","top.rugosity.aop",102.31662599352
"29",304091.948993661,5123091.94899366,"500 m","vert.sd.aop",70.3211098622453
"30",304799.055774848,5123091.94899366,"500 m","vert.sd.aop",91.8575892558584
"31",304091.948993661,5123799.05577485,"500 m","vert.sd.aop",49.3760157217828
"32",304799.055774848,5123799.05577485,"500 m","vert.sd.aop",79.7395143824085
"33",304091.948993661,5123091.94899366,"500 m","sd.sd.aop",22.9544965587455
"34",304799.055774848,5123091.94899366,"500 m","sd.sd.aop",50.8860474004631
"35",304091.948993661,5123799.05577485,"500 m","sd.sd.aop",21.0423324590358
"36",304799.055774848,5123799.05577485,"500 m","sd.sd.aop",36.6937671047226
"37",304091.948993661,5123091.94899366,"500 m","entropy.aop",0.5016229247989
"38",304799.055774848,5123091.94899366,"500 m","entropy.aop",0.524751056719829
"39",304091.948993661,5123799.05577485,"500 m","entropy.aop",0.491075637574924
"40",304799.055774848,5123799.05577485,"500 m","entropy.aop",0.517946996352208
"41",304091.948993661,5123091.94899366,"500 m","GFP.AOP.aop",0.997699654411912
"42",304799.055774848,5123091.94899366,"500 m","GFP.AOP.aop",0.997922112626466
"43",304091.948993661,5123799.05577485,"500 m","GFP.AOP.aop",0.998507503865944
"44",304799.055774848,5123799.05577485,"500 m","GFP.AOP.aop",0.998126773769051
"45",304091.948993661,5123091.94899366,"500 m","VAI.AOP.aop",4.78429832459894
"46",304799.055774848,5123091.94899366,"500 m","VAI.AOP.aop",4.40333808287161
"47",304091.948993661,5123799.05577485,"500 m","VAI.AOP.aop",3.15561480028424
"48",304799.055774848,5123799.05577485,"500 m","VAI.AOP.aop",3.97380153135823
"49",304091.948993661,5123091.94899366,"500 m","VCI.AOP.aop",0.701796163495918
"50",304799.055774848,5123091.94899366,"500 m","VCI.AOP.aop",0.705239111286941
"51",304091.948993661,5123799.05577485,"500 m","VCI.AOP.aop",0.69245250032075
"52",304799.055774848,5123799.05577485,"500 m","VCI.AOP.aop",0.702631240602086
