"","easting","northing","plot_area","metric","value"
"1",581091.948993661,5075091.94899366,"500 m","mean.max.canopy.ht.aop",21.4965586967917
"2",581799.055774848,5075091.94899366,"500 m","mean.max.canopy.ht.aop",28.0066829097427
"3",581091.948993661,5075799.05577485,"500 m","mean.max.canopy.ht.aop",26.5580937228763
"4",581799.055774848,5075799.05577485,"500 m","mean.max.canopy.ht.aop",24.1212000036542
"5",581091.948993661,5075091.94899366,"500 m","max.canopy.ht.aop",163.191279631507
"6",581799.055774848,5075091.94899366,"500 m","max.canopy.ht.aop",332.152897472339
"7",581091.948993661,5075799.05577485,"500 m","max.canopy.ht.aop",316.191833926811
"8",581799.055774848,5075799.05577485,"500 m","max.canopy.ht.aop",267.461870593596
"9",581091.948993661,5075091.94899366,"500 m","rumple.aop",4.45601118490786
"10",581799.055774848,5075091.94899366,"500 m","rumple.aop",4.87855857843557
"11",581091.948993661,5075799.05577485,"500 m","rumple.aop",5.39685894982637
"12",581799.055774848,5075799.05577485,"500 m","rumple.aop",5.12878730234903
"13",581091.948993661,5075091.94899366,"500 m","deepgaps.aop",1002
"14",581799.055774848,5075091.94899366,"500 m","deepgaps.aop",457
"15",581091.948993661,5075799.05577485,"500 m","deepgaps.aop",455
"16",581799.055774848,5075799.05577485,"500 m","deepgaps.aop",3
"17",581091.948993661,5075091.94899366,"500 m","deepgap.fraction.aop",0.00399201596806387
"18",581799.055774848,5075091.94899366,"500 m","deepgap.fraction.aop",0.00202256241397471
"19",581091.948993661,5075799.05577485,"500 m","deepgap.fraction.aop",0.00201371093732712
"20",581799.055774848,5075799.05577485,"500 m","deepgap.fraction.aop",1.47491900236479e-05
"21",581091.948993661,5075091.94899366,"500 m","cover.fraction.aop",0.996007984031936
"22",581799.055774848,5075091.94899366,"500 m","cover.fraction.aop",0.997977437586025
"23",581091.948993661,5075799.05577485,"500 m","cover.fraction.aop",0.997986289062673
"24",581799.055774848,5075799.05577485,"500 m","cover.fraction.aop",0.999985250809976
"25",581091.948993661,5075091.94899366,"500 m","top.rugosity.aop",12.2734229108283
"26",581799.055774848,5075091.94899366,"500 m","top.rugosity.aop",14.5672989236057
"27",581091.948993661,5075799.05577485,"500 m","top.rugosity.aop",10.8506122968904
"28",581799.055774848,5075799.05577485,"500 m","top.rugosity.aop",11.9642589544869
"29",581091.948993661,5075091.94899366,"500 m","vert.sd.aop",11.8727508042522
"30",581799.055774848,5075091.94899366,"500 m","vert.sd.aop",13.3105798896473
"31",581091.948993661,5075799.05577485,"500 m","vert.sd.aop",11.3987418646627
"32",581799.055774848,5075799.05577485,"500 m","vert.sd.aop",12.079512328296
"33",581091.948993661,5075091.94899366,"500 m","sd.sd.aop",2.71729544368516
"34",581799.055774848,5075091.94899366,"500 m","sd.sd.aop",2.68639911443105
"35",581091.948993661,5075799.05577485,"500 m","sd.sd.aop",4.00639766888968
"36",581799.055774848,5075799.05577485,"500 m","sd.sd.aop",3.36846458194156
"37",581091.948993661,5075091.94899366,"500 m","entropy.aop",0.707850193638246
"38",581799.055774848,5075091.94899366,"500 m","entropy.aop",0.644190069403954
"39",581091.948993661,5075799.05577485,"500 m","entropy.aop",0.604197579014903
"40",581799.055774848,5075799.05577485,"500 m","entropy.aop",0.617584395942188
"41",581091.948993661,5075091.94899366,"500 m","GFP.AOP.aop",0.988527790359014
"42",581799.055774848,5075091.94899366,"500 m","GFP.AOP.aop",0.993395268968078
"43",581091.948993661,5075799.05577485,"500 m","GFP.AOP.aop",0.99431068321553
"44",581799.055774848,5075799.05577485,"500 m","GFP.AOP.aop",0.994392440566372
"45",581091.948993661,5075091.94899366,"500 m","VAI.AOP.aop",4.79089469928774
"46",581799.055774848,5075091.94899366,"500 m","VAI.AOP.aop",5.61685899851526
"47",581091.948993661,5075799.05577485,"500 m","VAI.AOP.aop",5.04123852084088
"48",581799.055774848,5075799.05577485,"500 m","VAI.AOP.aop",4.42655394248104
"49",581091.948993661,5075091.94899366,"500 m","VCI.AOP.aop",0.814374053322076
"50",581799.055774848,5075091.94899366,"500 m","VCI.AOP.aop",0.840850697125904
"51",581091.948993661,5075799.05577485,"500 m","VCI.AOP.aop",0.794309808450863
"52",581799.055774848,5075799.05577485,"500 m","VCI.AOP.aop",0.796222291026212
