"","easting","northing","plot_area","metric","value"
"1",581099.9995,5074099.9995,"500 m","mean.max.canopy.ht.aop",24.3171282292117
"2",581807.106281186,5074099.9995,"500 m","mean.max.canopy.ht.aop",26.4225694711181
"3",581099.9995,5074807.10628119,"500 m","mean.max.canopy.ht.aop",28.3093592063932
"4",581807.106281186,5074807.10628119,"500 m","mean.max.canopy.ht.aop",28.446170548008
"5",581099.9995,5074099.9995,"500 m","max.canopy.ht.aop",171.173
"6",581807.106281186,5074099.9995,"500 m","max.canopy.ht.aop",172.63
"7",581099.9995,5074807.10628119,"500 m","max.canopy.ht.aop",173.663
"8",581807.106281186,5074807.10628119,"500 m","max.canopy.ht.aop",332.153
"9",581099.9995,5074099.9995,"500 m","rumple.aop",3.94602168579139
"10",581807.106281186,5074099.9995,"500 m","rumple.aop",3.96045290845444
"11",581099.9995,5074807.10628119,"500 m","rumple.aop",5.39591260888218
"12",581807.106281186,5074807.10628119,"500 m","rumple.aop",5.41491443330048
"13",581099.9995,5074099.9995,"500 m","deepgaps.aop",2192
"14",581807.106281186,5074099.9995,"500 m","deepgaps.aop",403
"15",581099.9995,5074807.10628119,"500 m","deepgaps.aop",11
"16",581807.106281186,5074807.10628119,"500 m","deepgaps.aop",11
"17",581099.9995,5074099.9995,"500 m","deepgap.fraction.aop",0.0178938775510204
"18",581807.106281186,5074099.9995,"500 m","deepgap.fraction.aop",0.00259916156078684
"19",581099.9995,5074807.10628119,"500 m","deepgap.fraction.aop",7.09448564979039e-05
"20",581807.106281186,5074807.10628119,"500 m","deepgap.fraction.aop",5.6051241025432e-05
"21",581099.9995,5074099.9995,"500 m","cover.fraction.aop",0.98210612244898
"22",581807.106281186,5074099.9995,"500 m","cover.fraction.aop",0.997400838439213
"23",581099.9995,5074807.10628119,"500 m","cover.fraction.aop",0.999929055143502
"24",581807.106281186,5074807.10628119,"500 m","cover.fraction.aop",0.999943948758975
"25",581099.9995,5074099.9995,"500 m","top.rugosity.aop",18.2367703268718
"26",581807.106281186,5074099.9995,"500 m","top.rugosity.aop",18.8873803241745
"27",581099.9995,5074807.10628119,"500 m","top.rugosity.aop",13.3240407079027
"28",581807.106281186,5074807.10628119,"500 m","top.rugosity.aop",17.7871121161767
"29",581099.9995,5074099.9995,"500 m","vert.sd.aop",13.5555166583845
"30",581807.106281186,5074099.9995,"500 m","vert.sd.aop",12.7190243008237
"31",581099.9995,5074807.10628119,"500 m","vert.sd.aop",12.9280746249991
"32",581807.106281186,5074807.10628119,"500 m","vert.sd.aop",16.1027228987016
"33",581099.9995,5074099.9995,"500 m","sd.sd.aop",2.84850936402636
"34",581807.106281186,5074099.9995,"500 m","sd.sd.aop",3.62041832376042
"35",581099.9995,5074807.10628119,"500 m","sd.sd.aop",2.89416794109497
"36",581807.106281186,5074807.10628119,"500 m","sd.sd.aop",3.60069878411131
"37",581099.9995,5074099.9995,"500 m","entropy.aop",0.74443712065401
"38",581807.106281186,5074099.9995,"500 m","entropy.aop",0.713294804245376
"39",581099.9995,5074807.10628119,"500 m","entropy.aop",0.722410680576575
"40",581807.106281186,5074807.10628119,"500 m","entropy.aop",0.680364069935836
"41",581099.9995,5074099.9995,"500 m","GFP.AOP.aop",0.984912818756407
"42",581807.106281186,5074099.9995,"500 m","GFP.AOP.aop",0.98905421463715
"43",581099.9995,5074807.10628119,"500 m","GFP.AOP.aop",0.986787200056179
"44",581807.106281186,5074807.10628119,"500 m","GFP.AOP.aop",0.993798586273261
"45",581099.9995,5074099.9995,"500 m","VAI.AOP.aop",6.19745527698546
"46",581807.106281186,5074099.9995,"500 m","VAI.AOP.aop",4.5280812940666
"47",581099.9995,5074807.10628119,"500 m","VAI.AOP.aop",5.99393792287103
"48",581807.106281186,5074807.10628119,"500 m","VAI.AOP.aop",5.25248841851973
"49",581099.9995,5074099.9995,"500 m","VCI.AOP.aop",0.853205781268769
"50",581807.106281186,5074099.9995,"500 m","VCI.AOP.aop",0.821405910028175
"51",581099.9995,5074807.10628119,"500 m","VCI.AOP.aop",0.844647352180729
"52",581807.106281186,5074807.10628119,"500 m","VCI.AOP.aop",0.888076123133578
